Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_MRP_Category,Item_Weight_Category
FDY22,16.5,Regular,0.160371305,Snack Foods,143.9128,OUT018,2009,Medium,Tier 3,Supermarket Type2,1581.9408,Trung bình,Trung bình
FDV23,,Low Fat,0.105324246,Breads,125.7046,OUT027,1985,Medium,Tier 3,Supermarket Type3,3237.1196,Trung bình,
FDV01,19.2,Regular,0.0,Canned,153.3314,OUT017,2007,,Tier 2,Supermarket Type1,3257.7594,Trung bình,Trung bình
DRA59,8.27,Regular,0.127927931,Soft Drinks,184.8924,OUT046,1997,Small,Tier 1,Supermarket Type1,4442.2176,Trung bình,Nhẹ
FDW19,12.35,Regular,0.038560279,Fruits and Vegetables,109.857,OUT049,1999,Medium,Tier 1,Supermarket Type1,1208.427,Trung bình,Trung bình
FDU21,11.8,Regular,0.076839735,Snack Foods,34.9558,OUT049,1999,Medium,Tier 1,Supermarket Type1,373.5138,Rẻ,Trung bình
FDV60,20.2,Regular,0.117339056,Baking Goods,195.011,OUT035,2004,Small,Tier 2,Supermarket Type1,2749.754,Trung bình,Nặng
FDX03,,Regular,0.106971167,Meat,44.7744,OUT019,1985,Small,Tier 1,Grocery Store,135.8232,Rẻ,
FDX16,17.85,Low Fat,0.110152524,Frozen Foods,150.205,OUT010,1998,,Tier 3,Grocery Store,149.805,Trung bình,Trung bình
FDQ31,5.785,Regular,0.053930934,Fruits and Vegetables,87.3856,OUT049,1999,Medium,Tier 1,Supermarket Type1,878.856,Rẻ,Nhẹ
FDT19,7.59,Regular,0.145631695,Fruits and Vegetables,172.808,OUT018,2009,Medium,Tier 3,Supermarket Type2,2250.404,Trung bình,Nhẹ
NCV42,6.26,Low Fat,0.031470832,Household,110.2228,OUT049,1999,Medium,Tier 1,Supermarket Type1,1547.3192,Trung bình,Nhẹ
NCF07,9.0,Low Fat,0.032203667,Household,100.8016,OUT017,2007,,Tier 2,Supermarket Type1,1113.2176,Trung bình,Nhẹ
FDD45,8.615,Low Fat,0.116722514,Fruits and Vegetables,95.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,567.2616,Rẻ,Nhẹ
FDC59,16.7,Regular,0.0,Starchy Foods,63.6168,OUT049,1999,Medium,Tier 1,Supermarket Type1,1342.2528,Rẻ,Trung bình
FDD04,16.0,Low Fat,0.090480206,Dairy,142.4154,OUT017,2007,,Tier 2,Supermarket Type1,1985.4156,Trung bình,Trung bình
NCA53,11.395,Low Fat,0.009878459,Health and Hygiene,47.6034,OUT046,1997,Small,Tier 1,Supermarket Type1,1312.2918,Rẻ,Trung bình
FDW56,,Low Fat,0.070556945,Fruits and Vegetables,191.2162,OUT027,1985,Medium,Tier 3,Supermarket Type3,7504.2318,Trung bình,
NCE30,16.0,Low Fat,0.0,Household,210.4902,OUT045,2002,,Tier 2,Supermarket Type1,3610.6334,Đắt,Trung bình
FDB49,8.3,Regular,0.05046718,Baking Goods,97.6384,OUT010,1998,,Tier 3,Grocery Store,197.0768,Rẻ,Nhẹ
FDT20,,Low Fat,0.041194986,Fruits and Vegetables,39.1164,OUT027,1985,Medium,Tier 3,Supermarket Type3,1235.7248,Rẻ,
FDA26,,Regular,0.073562475,Dairy,217.6482,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723,Đắt,
DRM23,16.6,Low Fat,0.135620265,Hard Drinks,172.9422,OUT013,1987,High,Tier 3,Supermarket Type1,2931.5174,Trung bình,Trung bình
FDT57,15.2,Low Fat,0.031860325,Snack Foods,235.1248,OUT010,1998,,Tier 3,Grocery Store,474.0496,Đắt,Trung bình
DRJ49,6.865,Low Fat,0.013990601,Soft Drinks,127.6652,OUT035,2004,Small,Tier 2,Supermarket Type1,2841.6344,Trung bình,Nhẹ
FDR46,16.85,Low Fat,0.139417654,Snack Foods,147.476,OUT046,1997,Small,Tier 1,Supermarket Type1,2929.52,Trung bình,Trung bình
FDI56,7.325,Low Fat,0.156307983,Fruits and Vegetables,92.2146,OUT010,1998,,Tier 3,Grocery Store,91.2146,Rẻ,Nhẹ
FDP07,18.2,Low Fat,0.090084098,Fruits and Vegetables,197.211,OUT045,2002,,Tier 2,Supermarket Type1,3142.576,Trung bình,Trung bình
NCL31,7.39,Low Fat,0.120770963,Others,143.447,OUT018,2009,Medium,Tier 3,Supermarket Type2,2290.352,Trung bình,Nhẹ
FDU34,18.25,Low Fat,0.075311837,Snack Foods,122.6046,OUT049,1999,Medium,Tier 1,Supermarket Type1,2988.1104,Trung bình,Trung bình
FDR34,17.0,Regular,0.015997687,Snack Foods,229.1352,OUT045,2002,,Tier 2,Supermarket Type1,4580.704,Đắt,Trung bình
FDT24,12.35,Regular,0.185704641,Baking Goods,77.1328,OUT013,1987,High,Tier 3,Supermarket Type1,2239.7512,Rẻ,Trung bình
FDE45,12.1,Low Fat,0.040357315,Fruits and Vegetables,177.8002,OUT046,1997,Small,Tier 1,Supermarket Type1,1611.9018,Trung bình,Trung bình
DRM37,15.35,Low Fat,0.096790497,Soft Drinks,197.2768,OUT018,2009,Medium,Tier 3,Supermarket Type2,3941.536,Trung bình,Trung bình
NCH55,16.35,Low Fat,0.034742632,Household,127.402,OUT045,2002,,Tier 2,Supermarket Type1,759.012,Trung bình,Trung bình
NCC06,19.0,Low Fat,0.026986367,Household,127.1336,OUT046,1997,Small,Tier 1,Supermarket Type1,2812.3392,Trung bình,Trung bình
FDJ26,15.3,Regular,0.084937098,Canned,214.0218,OUT045,2002,,Tier 2,Supermarket Type1,1068.609,Đắt,Trung bình
FDE32,20.7,Low Fat,0.048718334,Fruits and Vegetables,38.7506,OUT013,1987,High,Tier 3,Supermarket Type1,227.7036,Rẻ,Nặng
NCQ43,17.75,Low Fat,0.111301625,Others,107.5912,OUT046,1997,Small,Tier 1,Supermarket Type1,1528.6768,Trung bình,Trung bình
DRK59,8.895,low fat,0.126287542,Hard Drinks,235.5616,OUT010,1998,,Tier 3,Grocery Store,468.7232,Đắt,Nhẹ
FDT16,9.895,Regular,0.048738014,Frozen Foods,262.1278,OUT049,1999,Medium,Tier 1,Supermarket Type1,3904.917,Đắt,Nhẹ
NCF19,13.0,Low Fat,0.03525175,Household,48.0034,OUT018,2009,Medium,Tier 3,Supermarket Type2,923.4646,Rẻ,Trung bình
FDI46,9.5,Low Fat,0.074648119,Snack Foods,253.3724,OUT018,2009,Medium,Tier 3,Supermarket Type2,755.0172,Đắt,Nhẹ
FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,Trung bình,Trung bình
FDR56,15.5,Regular,0.101335811,Fruits and Vegetables,196.5768,OUT017,2007,,Tier 2,Supermarket Type1,3350.3056,Trung bình,Trung bình
FDO52,11.6,Regular,0.077321087,Frozen Foods,169.3106,OUT045,2002,,Tier 2,Supermarket Type1,2224.4378,Trung bình,Trung bình
FDP44,16.5,Regular,0.079837509,Fruits and Vegetables,102.1332,OUT049,1999,Medium,Tier 1,Supermarket Type1,1743.0644,Trung bình,Trung bình
NCP43,17.75,Low Fat,0.03050705,Others,180.366,OUT046,1997,Small,Tier 1,Supermarket Type1,2336.958,Trung bình,Trung bình
FDK52,18.25,LF,0.079342006,Frozen Foods,226.0062,OUT049,1999,Medium,Tier 1,Supermarket Type1,1805.6496,Đắt,Trung bình
FDC53,8.68,Low Fat,0.008835694,Frozen Foods,96.5384,OUT046,1997,Small,Tier 1,Supermarket Type1,1182.4608,Rẻ,Nhẹ
FDU24,6.78,Regular,0.0,Baking Goods,95.012,OUT049,1999,Medium,Tier 1,Supermarket Type1,2050.664,Rẻ,Nhẹ
FDY49,17.2,Regular,0.012002075,Canned,165.3184,OUT013,1987,High,Tier 3,Supermarket Type1,990.7104,Trung bình,Trung bình
FDJ34,11.8,Regular,0.094185483,Snack Foods,126.2704,OUT017,2007,,Tier 2,Supermarket Type1,2002.7264,Trung bình,Trung bình
FDY44,,Regular,0.024286378,Fruits and Vegetables,194.711,OUT027,1985,Medium,Tier 3,Supermarket Type3,5892.33,Trung bình,
FDW34,9.6,Low Fat,0.035579135,Snack Foods,244.417,OUT046,1997,Small,Tier 1,Supermarket Type1,1944.136,Đắt,Nhẹ
FDY40,,Regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,Rẻ,
DRJ35,10.1,Low Fat,0.046545786,Hard Drinks,59.9878,OUT013,1987,High,Tier 3,Supermarket Type1,484.7024,Rẻ,Trung bình
FDV60,20.2,Regular,0.117599259,Baking Goods,195.311,OUT045,2002,,Tier 2,Supermarket Type1,3338.987,Trung bình,Nặng
FDF57,,Regular,0.102999154,Fruits and Vegetables,169.9448,OUT019,1985,Small,Tier 1,Grocery Store,170.4448,Trung bình,
DRF27,,Low Fat,0.049754975,Dairy,152.134,OUT019,1985,Small,Tier 1,Grocery Store,153.134,Trung bình,
FDB44,,Low Fat,0.016876708,Fruits and Vegetables,210.0586,OUT027,1985,Medium,Tier 3,Supermarket Type3,6964.9338,Đắt,
NCL06,14.65,Low Fat,0.120624771,Household,261.7594,OUT010,1998,,Tier 3,Grocery Store,523.3188,Đắt,Trung bình
FDH60,19.7,Regular,0.0,Baking Goods,197.911,OUT045,2002,,Tier 2,Supermarket Type1,1767.699,Trung bình,Trung bình
DRJ25,14.6,Low Fat,0.150872868,Soft Drinks,47.5692,OUT045,2002,,Tier 2,Supermarket Type1,1379.5376,Rẻ,Trung bình
FDH22,6.405,Low Fat,0.136275173,Snack Foods,128.1678,OUT035,2004,Small,Tier 2,Supermarket Type1,1017.3424,Trung bình,Nhẹ
FDJ56,,Low Fat,0.32111501,Fruits and Vegetables,100.77,OUT019,1985,Small,Tier 1,Grocery Store,199.74,Trung bình,
FDL56,14.1,Low Fat,0.126292985,Fruits and Vegetables,88.6198,OUT018,2009,Medium,Tier 3,Supermarket Type2,1133.8574,Rẻ,Trung bình
DRD24,13.85,Low Fat,0.030920531,Soft Drinks,141.0154,OUT018,2009,Medium,Tier 3,Supermarket Type2,1701.7848,Trung bình,Trung bình
FDF33,,Low Fat,0.0,Seafood,109.4596,OUT027,1985,Medium,Tier 3,Supermarket Type3,1833.6132,Trung bình,
FDW44,9.5,Regular,0.035350045,Fruits and Vegetables,169.7448,OUT017,2007,,Tier 2,Supermarket Type1,3579.3408,Trung bình,Nhẹ
FDA13,,Low Fat,0.078174543,Canned,39.9506,OUT027,1985,Medium,Tier 3,Supermarket Type3,721.0614,Rẻ,
FDX60,14.35,Low Fat,0.080922439,Baking Goods,80.096,OUT018,2009,Medium,Tier 3,Supermarket Type2,1278.336,Rẻ,Trung bình
FDS21,19.85,reg,0.034942397,Snack Foods,61.9194,OUT010,1998,,Tier 3,Grocery Store,123.8388,Rẻ,Trung bình
FDA01,15.0,Regular,0.054599767,Canned,59.4904,OUT018,2009,Medium,Tier 3,Supermarket Type2,644.4944,Rẻ,Trung bình
FDT04,17.25,Low Fat,0.107021498,Frozen Foods,40.5822,OUT035,2004,Small,Tier 2,Supermarket Type1,785.644,Rẻ,Trung bình
FDB38,,Regular,0.027214272,Canned,159.692,OUT027,1985,Medium,Tier 3,Supermarket Type3,3515.424,Trung bình,
FDN01,,Low Fat,0.07204818,Breakfast,177.937,OUT027,1985,Medium,Tier 3,Supermarket Type3,6881.043,Trung bình,
FDK40,7.035,Low Fat,0.021849398,Frozen Foods,262.091,OUT046,1997,Small,Tier 1,Supermarket Type1,4207.856,Đắt,Nhẹ
FDV32,7.785,Low Fat,0.088846306,Fruits and Vegetables,61.451,OUT049,1999,Medium,Tier 1,Supermarket Type1,759.012,Rẻ,Nhẹ
FDS46,17.6,Regular,0.047330801,Snack Foods,120.8782,OUT049,1999,Medium,Tier 1,Supermarket Type1,2621.9204,Trung bình,Trung bình
FDS55,,Low Fat,0.080771137,Fruits and Vegetables,146.4734,OUT027,1985,Medium,Tier 3,Supermarket Type3,4157.2552,Trung bình,
FDY09,,Low Fat,0.044122209,Snack Foods,173.8054,OUT019,1985,Small,Tier 1,Grocery Store,175.1054,Trung bình,
FDV49,,Low Fat,0.025702129,Canned,262.6226,OUT027,1985,Medium,Tier 3,Supermarket Type3,7136.7102,Đắt,
DRK47,7.905,Low Fat,0.06406438,Hard Drinks,229.2694,OUT046,1997,Small,Tier 1,Supermarket Type1,1826.9552,Đắt,Nhẹ
FDR26,20.7,Low Fat,0.043011277,Dairy,177.2028,OUT018,2009,Medium,Tier 3,Supermarket Type2,3364.9532,Trung bình,Nặng
FDX19,19.1,Low Fat,0.096929994,Fruits and Vegetables,233.8958,OUT045,2002,,Tier 2,Supermarket Type1,2103.2622,Đắt,Trung bình
FDW32,18.35,Regular,0.094218363,Fruits and Vegetables,83.9882,OUT013,1987,High,Tier 3,Supermarket Type1,1202.4348,Rẻ,Trung bình
FDD29,,Low Fat,0.018321361,Frozen Foods,255.3698,OUT027,1985,Medium,Tier 3,Supermarket Type3,4819.7262,Đắt,
FDP44,16.5,Regular,0.133424184,Fruits and Vegetables,102.2332,OUT010,1998,,Tier 3,Grocery Store,102.5332,Trung bình,Trung bình
FDS27,10.195,Regular,0.012458143,Meat,196.311,OUT046,1997,Small,Tier 1,Supermarket Type1,589.233,Trung bình,Trung bình
FDG05,,Regular,0.087421738,Frozen Foods,154.463,OUT027,1985,Medium,Tier 3,Supermarket Type3,2972.797,Trung bình,
FDG45,8.1,Low Fat,0.128011859,Fruits and Vegetables,210.9902,OUT035,2004,Small,Tier 2,Supermarket Type1,6371.706,Đắt,Nhẹ
NCX06,17.6,Low Fat,0.015687045,Household,182.6976,OUT046,1997,Small,Tier 1,Supermarket Type1,3440.8544,Trung bình,Trung bình
FDB12,11.15,Regular,0.105471384,Baking Goods,105.8648,OUT049,1999,Medium,Tier 1,Supermarket Type1,1973.4312,Trung bình,Trung bình
FDP32,6.65,Low Fat,0.08816538,Fruits and Vegetables,126.8678,OUT017,2007,,Tier 2,Supermarket Type1,1780.3492,Trung bình,Nhẹ
FDI58,7.64,Regular,0.070704474,Snack Foods,93.412,OUT046,1997,Small,Tier 1,Supermarket Type1,1491.392,Rẻ,Nhẹ
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352,Trung bình,Nhẹ
FDB22,8.02,Low Fat,0.186528819,Snack Foods,151.9998,OUT010,1998,,Tier 3,Grocery Store,307.5996,Trung bình,Nhẹ
FDA28,16.1,Regular,0.04807227,Frozen Foods,126.5362,OUT017,2007,,Tier 2,Supermarket Type1,1761.7068,Trung bình,Trung bình
FDN04,11.8,Regular,0.014166739,Frozen Foods,178.2344,OUT017,2007,,Tier 2,Supermarket Type1,2854.9504,Trung bình,Trung bình
FDW23,,Low Fat,0.143592939,Baking Goods,37.3164,OUT019,1985,Small,Tier 1,Grocery Store,38.6164,Rẻ,
FDX15,17.2,Low Fat,0.156298858,Meat,162.1578,OUT046,1997,Small,Tier 1,Supermarket Type1,1283.6624,Trung bình,Trung bình
FDV11,9.1,Regular,0.136695145,Breads,173.4054,OUT010,1998,,Tier 3,Grocery Store,875.527,Trung bình,Nhẹ
DRK11,,Low Fat,0.018847114,Hard Drinks,148.0392,OUT019,1985,Small,Tier 1,Grocery Store,447.4176,Trung bình,
DRD25,6.135,Low Fat,0.079094835,Soft Drinks,114.386,OUT049,1999,Medium,Tier 1,Supermarket Type1,1018.674,Trung bình,Nhẹ
FDV04,7.825,Regular,0.150015234,Frozen Foods,157.5288,OUT046,1997,Small,Tier 1,Supermarket Type1,942.7728,Trung bình,Nhẹ
FDQ24,15.7,Low Fat,0.073816097,Baking Goods,253.4724,OUT045,2002,,Tier 2,Supermarket Type1,2013.3792,Đắt,Trung bình
FDE11,17.7,Regular,0.226122963,Starchy Foods,185.7924,OUT010,1998,,Tier 3,Grocery Store,370.1848,Trung bình,Trung bình
NCT05,10.895,LF,0.021037197,Health and Hygiene,255.9672,OUT018,2009,Medium,Tier 3,Supermarket Type2,4857.6768,Đắt,Trung bình
FDU49,19.5,Regular,0.030688557,Canned,85.754,OUT035,2004,Small,Tier 2,Supermarket Type1,2163.85,Rẻ,Trung bình
FDF24,15.5,Regular,0.025409912,Baking Goods,83.2934,OUT049,1999,Medium,Tier 1,Supermarket Type1,1883.5482,Rẻ,Trung bình
NCR38,17.25,Low Fat,0.113748685,Household,251.3724,OUT045,2002,,Tier 2,Supermarket Type1,6795.1548,Đắt,Trung bình
FDS33,,Regular,0.122830885,Snack Foods,86.9514,OUT027,1985,Medium,Tier 3,Supermarket Type3,3364.9532,Rẻ,
FDF16,7.3,Low Fat,0.086266286,Frozen Foods,147.2076,OUT049,1999,Medium,Tier 1,Supermarket Type1,1921.4988,Trung bình,Nhẹ
FDN39,19.35,Regular,0.065507999,Meat,168.9816,OUT035,2004,Small,Tier 2,Supermarket Type1,2852.2872,Trung bình,Trung bình
NCC43,7.39,Low Fat,0.093307713,Household,250.9066,OUT017,2007,,Tier 2,Supermarket Type1,1506.0396,Đắt,Nhẹ
FDL24,,Regular,0.024776026,Baking Goods,172.3422,OUT027,1985,Medium,Tier 3,Supermarket Type3,7759.899,Trung bình,
FDB26,14.0,reg,0.031444357,Canned,53.764,OUT017,2007,,Tier 2,Supermarket Type1,798.96,Rẻ,Trung bình
FDB33,17.75,Low Fat,0.014609738,Fruits and Vegetables,160.4262,OUT045,2002,,Tier 2,Supermarket Type1,3182.524,Trung bình,Trung bình
FDW20,,Low Fat,0.024032484,Fruits and Vegetables,124.973,OUT027,1985,Medium,Tier 3,Supermarket Type3,2463.46,Trung bình,
NCN43,12.15,Low Fat,0.006754117,Others,122.173,OUT013,1987,High,Tier 3,Supermarket Type1,2586.633,Trung bình,Trung bình
FDU25,12.35,Low Fat,0.026735372,Canned,57.4246,OUT045,2002,,Tier 2,Supermarket Type1,810.9444,Rẻ,Trung bình
FDW14,8.3,Regular,0.038367194,Dairy,87.1198,OUT018,2009,Medium,Tier 3,Supermarket Type2,959.4178,Rẻ,Nhẹ
FDV12,16.7,Regular,0.061122656,Baking Goods,100.0384,OUT018,2009,Medium,Tier 3,Supermarket Type2,2463.46,Trung bình,Trung bình
DRH15,8.775,Low Fat,0.109911272,Dairy,41.9428,OUT046,1997,Small,Tier 1,Supermarket Type1,1537.998,Rẻ,Nhẹ
FDA07,7.55,Regular,0.030918873,Fruits and Vegetables,123.9072,OUT013,1987,High,Tier 3,Supermarket Type1,1102.5648,Trung bình,Nhẹ
FDC05,13.1,Regular,0.098938169,Frozen Foods,195.7768,OUT049,1999,Medium,Tier 1,Supermarket Type1,4138.6128,Trung bình,Trung bình
DRO47,10.195,Low Fat,0.112681821,Hard Drinks,113.986,OUT018,2009,Medium,Tier 3,Supermarket Type2,452.744,Trung bình,Trung bình
NCV17,18.85,Low Fat,0.016104504,Health and Hygiene,130.2626,OUT035,2004,Small,Tier 2,Supermarket Type1,2360.9268,Trung bình,Trung bình
FDC51,10.895,Regular,0.009613854,Dairy,122.973,OUT013,1987,High,Tier 3,Supermarket Type1,1231.73,Trung bình,Trung bình
DRJ11,9.5,Low Fat,0.0,Hard Drinks,190.9872,OUT045,2002,,Tier 2,Supermarket Type1,3025.3952,Trung bình,Nhẹ
FDA23,9.8,Low Fat,0.047178116,Baking Goods,99.4016,OUT035,2004,Small,Tier 2,Supermarket Type1,2428.8384,Rẻ,Nhẹ
NCT17,10.8,Low Fat,0.042102658,Health and Hygiene,189.7214,OUT017,2007,,Tier 2,Supermarket Type1,1695.7926,Trung bình,Trung bình
FDR40,9.1,Regular,0.008027701,Frozen Foods,81.1618,OUT013,1987,High,Tier 3,Supermarket Type1,2255.7304,Rẻ,Nhẹ
FDN46,7.21,Regular,0.144924795,Snack Foods,100.8332,OUT045,2002,,Tier 2,Supermarket Type1,1537.998,Trung bình,Nhẹ
FDF09,6.215,Low Fat,0.012198395,Fruits and Vegetables,37.4848,OUT018,2009,Medium,Tier 3,Supermarket Type2,186.424,Rẻ,Nhẹ
FDW58,20.75,LF,0.007551665,Snack Foods,107.1622,OUT035,2004,Small,Tier 2,Supermarket Type1,1693.7952,Trung bình,Nặng
FDH44,19.1,Regular,0.025872153,Fruits and Vegetables,145.7418,OUT046,1997,Small,Tier 1,Supermarket Type1,882.8508,Trung bình,Trung bình
NCC07,19.6,Low Fat,0.023951149,Household,105.6964,OUT046,1997,Small,Tier 1,Supermarket Type1,1577.946,Trung bình,Trung bình
FDQ25,8.63,Regular,0.028320655,Canned,172.5422,OUT049,1999,Medium,Tier 1,Supermarket Type1,2241.7486,Trung bình,Nhẹ
NCQ41,14.8,Low Fat,0.032606181,Health and Hygiene,193.5794,OUT010,1998,,Tier 3,Grocery Store,390.1588,Trung bình,Trung bình
FDD11,12.85,LF,0.0,Starchy Foods,253.004,OUT018,2009,Medium,Tier 3,Supermarket Type2,3795.06,Đắt,Trung bình
FDI35,14.0,Low Fat,0.041283361,Starchy Foods,182.4634,OUT035,2004,Small,Tier 2,Supermarket Type1,5452.902,Trung bình,Trung bình
FDN10,11.5,Low Fat,0.046217345,Snack Foods,120.3124,OUT045,2002,,Tier 2,Supermarket Type1,474.0496,Trung bình,Trung bình
FDY11,6.71,Regular,0.029727657,Baking Goods,66.6142,OUT017,2007,,Tier 2,Supermarket Type1,1120.5414,Rẻ,Nhẹ
